Sentence_id,sentence
1570,"انتي أصلك من مصياف ؟"
1571,"لا ليش ؟"
1572,"لأنك قلعة"
1573,"مافي عيد و فلان عني بعيد القائل شخص مكلفتو سهرة العيد شي 200 ألف وعم يكتب البوست وهوي عم ينكش سنانو وعم يحط هدول ???????????? لك حبيبي والله محدا مفكر فيك وكلا ع بعضا سهرة و خالصين خلص كول و سهار و نبسط و سكار ضروري تضحك العالم عليك لأ والكل بعلقلو بقلب مكسور عفكرة تبع القلب ... هوي مكسور قلبو لأنو لسا ما تعشّا فقط لا أكتر والله لولا هالولاد ما منعمل شي ???? إنو أنا حزين و ابتغريني السهرات و افي فرح بعد غياب فلان و فلانة عطيني بصلة مشوية ولاا"
1573,"مافي عيد و فلان عني بعيد القائل شخص مكلفتو سهرة العيد شي 200 ألف وعم يكتب البوست وهوي عم ينكش سنانو وعم يحط هدول 😭😭😭 لك حبيبي والله محدا مفكر فيك وكلا ع بعضا سهرة و خالصين خلص كول و سهار و نبسط و سكار ضروري تضحك العالم عليك لأ والكل بعلقلو بقلب مكسور عفكرة تبع القلب ... هوي مكسور قلبو لأنو لسا ما تعشّا فقط لا أكتر والله لولا هالولاد ما منعمل شي ???? إنو أنا حزين و ابتغريني السهرات و افي فرح بعد غياب فلان و فلانة عطيني بصلة مشوية ولاا"
1573,"مافي عيد و فلان عني بعيد القائل شخص مكلفتو سهرة العيد شي 200 ألف وعم يكتب البوست وهوي عم ينكش سنانو وعم يحط هدول 😂😂😂 لك حبيبي والله محدا مفكر فيك وكلا ع بعضا سهرة و خالصين خلص كول و سهار و نبسط و سكار ضروري تضحك العالم عليك لأ والكل بعلقلو بقلب مكسور عفكرة تبع القلب ... هوي مكسور قلبو لأنو لسا ما تعشّا فقط لا أكتر والله لولا هالولاد ما منعمل شي 😂 إنو أنا حزين و ابتغريني السهرات و افي فرح بعد غياب فلان و فلانة عطيني بصلة مشوية ولاا"
1574,"من وقت ما إجا مبعوثنا البدني مبارح اجا واحد ع ساحة المدرسة معو محايات وماعد تحرك وماعم يبيع منن وبس امرق بيتطلع فيي من تحت لتحت و ابتسامة خبيثة وكأنو ميقلي فهمان عليي ما"
1575,"لقد أتت نصف ساعة من دون أي انقطاع وفي اتصال أجراه المبعوث البدني مع جهة مسؤولة قال فيه انهم سيعوضون هذا الإنجاز يوم رأس السنة حيث اننا لن نرى الكهرباء للسنة القادمة"
1576,"انا الساعة طنعش ما بصافح حدا"
1577,"مشان سهرة راس السنة"
1578,"انو إي هيي عبارة عن عشا جماعي فقط"
1579,"بالأمس كنا نختلف عأي قناة بدنا نتفرج ..... الحمدلله هلا مافي كهربا ما منختلف وما منتقاتل"
1580,"وانا الساعة طنعش ما بصافح حدا"
1581,"طبعا ما فينا ننسا هاد الضيف يلي بيفتل ع بيوت الضيعة كلا"
1582,"انو قال خفيف الظل وعم يعايدن وكل بيت بفوت عليه بدو يتعشا"
1583,"والله بعرف شوياتك طيبين"
1584,"لا خيي اذا بكونو سم بدك تاكل بعرفك نفسك دنيي"
1585,"وانا الساعة طنعش ما بصافح حدا"
1586,"عندك فترة النقاش مع امي مشان ما أشرب كولا مع الأكل طبعاً انا بشرب وبآخر السهرة بياخدوني ع بعرين لعند الدكتور لأنو مافي غيرو بيفتح بالليل"
1587,"وحتى هوي صار ينطرني كل سنة وبقلي لا بقا تشرب كولا مع الأكل"
1588,"انو إي هوي هاليوم خلينا نموت من كاسة كولا شو عليه"
1589,"عندك بشكل عام بكل بيت في فقرة شريب العرق يلي من فوتو بدوخ"
1590,"و الأب فورا بيعرق و بيكره تيابو"
1591,"عندك الولاد يلي بدن يجو يوقفو جنب المنقل و بصيرو يرمو حطب و يطلعوا فيك بصمت الله لا يجمعني بهيك ولاد"
1592,"وانا الساعة طنعش ما بصافح حدا"
1593,"في فقرة الدبكة والرقصة و لازم يكون في حدا متحول بحركاتو"
1594,"بيشرب مسحوق اليورانيوم من صغرو و بيجي لعندك و بيحضنك و بيرخي تقلو عليك"
1595,"يخي يلعن أخت هالسالفة كل سنة بلاها هالرقصة إذا بدا تعملي دسك"
1596,"وانا الساعة طنعش ما بصافح حدا"
1597,"والفقرة الأخيرة تقريباً الساعة طنعش ما بعرف بس انو فجأة سبحان مغير الأحوال لك فجأة فجأة بتهوش العالم عبعضا هيك شي ..."
1598,"قبل ما أنسى تاني يوم كلا فيديوهات 30 ثانية لشباب عم يقوصوا وبآخر الفيديو دائماً في كلمة ... شو صورت منيح ؟"
1599,"اي اي صورك وانت عم تقتلو من الضحك لنتنياهو فوت من هالبرد"
1600,"شو ناقص البير ؟ باب للغرفة ... والباب بدو جبلة و طين والطين بدو مي والمي بالبير والبير بدو باب والباب بدو طين والطين بدو مي والمي بالبير"
1601,"بشرى غير سارة .... صحيح إنن توأم بس بشرى طويلة شوي أما سارة أقصر و أنحف"
1602,"بعد مواجهات عنيفة وبين أخد و رد تم بعون الله القضاء على حواشة الفطر ???? ......."
1602,"بعد مواجهات عنيفة وبين أخد و رد تم بعون الله القضاء على حواشة الفطر 🙂 ......."
1603,"انو عنا بالزاملية في فطر بطعمي سوريا بس ليش العالم بتتعامل معو كأنو شي رح ينقرض و كأنو اخر مرة بياكلوه"
1604,"النتائج كانت تقريب الكيلو ❤"
1605,"مع إصابة رجل من رجالنا بعد ما وضع رجلو على السيد ملوص تحت داعي عدم رؤيته مما أدى لرميه بالرصاص الحي ???? لا حدا يطلع عالفطر بلا سلاح"
1605,"مع إصابة رجل من رجالنا بعد ما وضع رجلو على السيد ملوص تحت داعي عدم رؤيته مما أدى لرميه بالرصاص الحي 🤕 لا حدا يطلع عالفطر بلا سلاح"
1606,"كنت عم صلح التلفزيون بالبيت عنا ...."
1607,"قامت طلعتلي قناة سورية الأرضية ..."
1608,"بديني حسيت المذيع تلبك ... الووو زمان مطلع حدا بخلقتو"
1609,"شفتو شقد تعبانين عالشجرة تبع مصياف يا إلهي يا إلهي شو حلوة و الله و الناموسية شفافة"
1610,"لا تغرك صحوة كانون ولا غيمة شباط"
1611,"في كانون كن وعلى الفقير حن"
1612,"في كانون كن عند أهلك يا مجنون"
1613,"في كانون كن ببيتك و كتر من حطبك و زيتك"
1614,"غيمة كانون بتخوف المجنون"
1615,"أجا كانون ولف الفحم و الكانون"
1616,"سيل الزيتون من سيل كانون"
1617,"عرس المجانين بكوانين"
1618,"كانون الأجرد بيخلي الشجر أمرد"
1619,"كانون فحلها و نيسان محلها"
1620,"مية كانون بتشفي كل معلول"
1621,"نارات و جمرات و سوالف و لقش .. بردات و غيوم و الجو شغل تلج .. سيكارة المعلم كل سحبة منها من قلب .. مدري من طيبتها مدري ع سعر الصرف .. كومة جواكي و جرابات ... و تفضلو لنزيد الهرج"
1622,"ليش ما بيعملوا الدوام الساعة تسعة بفيق الواحد مرتاح و نفسيتو طرية شوي"
1623,"قال لبّس العود بجود إي و الوجه شو مشانو بفيمو يعني"
1624,"لما كنا زغار كنا نكره الحمام ليش ؟؟"
1625,"لانه أمهاتنا الله يطول بعمرهن و يرحم المتوفيات منهن كانوا يعذبونا تعذيب لما يحممونا"
1626,"لما تقلي قوم عالحمام أنصرع من الخوف وما أعرف وين بدي أتخبى لاهرب من تحميمها"
1627,"تبدأ رحلة العذاب من تشليح التياب ..."
1628,"تشلحني الكنزة تقول عم تنتف ريش جاج ... و دينيي كل واحدة بجهة .."
1629,"طول ما عم تتحمم بدك تضل قاعد قرفصة .."
1630,"طيب يا ماما عن جد اجريّي وجعوني .."
1631,"عالسريع بتناولني كف و بتقلّي سكّر تمك .."
1632,"بالنسبة للمي يعني بتكون تحت درجة الغليان بنتفة يا يا ماما لحمي داب !"
1633,"بيجي الكف الثاني ... سد بوزك بدي خلص بعد في خيك .."
1634,"لما تفرك راسي بتقول كأنها عم تفرك بمصباح علاء الدين حتى تطلّع المارد"
1635,"و راسي بلولح يمين و شمال و رقبتي ارتخوا عزقاتا"
1636,"و المشكلة لما ينزل الصابون عوجك وبدها تشيلو بتغير ملامح وجهك ... غير حرقة العينين"
1637,"والمشكلة أكبر إذا كانت الصابونة """" ص ع """" أقسى من الحجر ... و الفرك فيها متل يلي عم يدعكك بحجر"
1638,"فقرة التلييف :"
1639,"بتمسك الليفة و بتفركها بالصابونة وهي عم تطلع فيك ... تقول لحّام عم يسن سكاكينو للدبح"
1640,"الحمد لله إنو الجسم بيحمل شوي ... و إلا فركها للجسم بسبب شلل رباعي"
1641,"طيّب .. هدّي شوي يا ماما أنا حاسس كأنك عم تبرشي جبنة"
1642,"طبعا الحمام بالدور ... و الكبير قبل الزغير"
1643,"ولما أسمع خيي الكبير عم يبكي وهي عم تحممو .. أنا بالغرفة التانية بصير أبكي من الخوف"
1644,"بعد الحمام بتطلّع عحالك بالمراية و البخار عم يطلع من جسمك كأنك طنجرة ضغط مفتوحة"
1645,"الأصابع بكونو مجعلكين ولون جسمك أبيض و أحمر من كتر الفرك"
1646,"منجي على تلبيس الأواعي ..."
1647,"راسك قد قبة البلوزة على خمس مرات وبدها تفوتلك ياه بالطول بالعرض مش مهم المهم يفوت"
1648,"بتلبس أول بلوزة و تاني بلوزة ... ويا ويلك إذا فلتت الكم لما تقلك كموش إيدك حتى تلبسك البلوزة التانية"
1649,"منجي لتمشيط الشعر .. وحفاظاً على تنظيف الراس من القمل و الشوائب ... بتغرز المشط براسك وببلش موسم الحراثة والفلاحة ، وطبعاً في احتمال إنه أسنان المشط يوصلو لمخك من الشد"
1650,"فكرة الفيقة بكير بهالأيام أصعب من فكرة هتلر احتلال روسيا"
1651,"مو عيب عليهن مبارح يقطعو الكهربا قبل بنص ساعة كنت عم أحضر الحلقة الأخيرة من الزير سالم وما قدرت كفيا يا عيب الشوم عليهن أبقولو في عالم مو شايفي المسلسل غير 10 مرات"
1652,"بتبلش السهرة ب سكر الباب وراك"
1653,"حط المازوت للصوبيا"
1654,"هاتو شي ناكلوا"
1655,"سكر الباب وراك"
1656,"خفف المازوت"
1657,"مين حط الابريق ع الصوبيا"
1658,"هاتولنا كرمنتينا أو بردقان"
1659,"أسع عن التلفزيون .."
1660,"لعمى هالأبريق بيضل يكب مي"
1661,"وطي صوت الموبايل .."
1662,"طلاع و سكر الباب يا أما فوت و سكر الباب"
1663,"لا تلتزق بالصوبيا أحسن ما ينحرقوا تيابك"
1664,"لا تكب الشاي عالسجادة ..."
1665,"هاتولنا كرمنتينا .."
1666,"شو صار مع هالصوبيا يا بتنطفي يا بتحرقنا"
1667,"ما ضل كرمنتينا ؟"
1668,"لو الدنيا صيف ما كنتوا خليتوا الباب مفتوح وحق الله"
1669,"حط بالأبريق مي نشف من كتر ما بقبق"
1670,"حاج ولاك بس ولاك ..."
1671,"و الله عم يقلّي عقلي قوووم اكسر هالباب لسا بيتركوه مفتوح"
1672,"لا تكب الشاي عالبطيخة"
1673,"العما إذا الواحد جاب طن كرمنتينا يا دوب ياكل وحدة أو تنتين"
1674,"تعوا امسحوا السجادة ما صار إلا كب الشاي"
1675,"سكر الزففففت وراك يا زففت"
1676,"والله كنت عرفان بدك تكب الشاي"
1677,"لو بيعرف العدو الغاشم انو بالبلد في غاز حر بس مافي غاز عالبطاقة كان تأكد أنو لن ولم يوهن عزيمته الجبارة"
1678,"من جهجة الضو بجيك صوت من غامض علمو علييييييييي وبس ..."
1679,"لازم تفهم لحالك انو قوم يا أمي لنبلش حواش الزيتون"
1680,"بتخطف نظرة عالتركتور بتلاقي عالم ملتمة كأنو رايحين نعمل عملية تبادل مخطوفين مع داعش"
1681,"نحن ما نتلتم بس شكلنا الصبح ما بساعد أي شخص بالأرض مهما كان قلبو قوي انو يتجرأ ويقول صباح الخير مثلاً"
1682,"انا بنمغص كتير وقت الصبح وبكون بردان و همي انو أقدر القط كم صورة للشمس وقت الشروق مندون ما يشوفني حدا مشان لا أسمعلي شي كلمة"
1683,"بالأرض بتصير كتير شغلات حلوة متل وقت ناكل او وقت شغل نار وأعمل متة او وقت أتصور انا والطبيعة كلشي بالأرض حلو إلا حواش الزيتون"
1684,"في شجرات بتحس انو هيك هيي ما بدا تخلص قد ماحوشت بتقلك ليك طلع فيي أي ما خلصت اسا"
1685,"وفي زيتون صغير هاد الجلطة بتشد بتشد بتشد لحتى توصل معك إنك تكسر الغصن انو عأساس بالغلط"
1686,"دائما في حدا بالورشة دمو خفيف و بضل يحدث و يغني و بيشتغل"
1687,"وفي حدا بضل مشلوش وكلو ركيد و عأساس انو عم يحرك العالم وهوي ما اشتغل شي"
1688,"وفي عالم بتشتغل من تم ساكت"
1689,"وفي أنا .... ابشتغل و ابحكي و ابركد و اباكل و ابدي شي بدي اتصفن والقط صور"
1690,"بس كتيير بشع وقت تاخد وضعية للتصوير وتجي عيني بعين بيي ... أصلاً أنا عم دور عتغطية مشان وصيلكن ع غدا جاهز معلييم"
1691,"و دخيل حدا يقول جيبولنا مي أو جيبولنا أي شي أخي طلوب لبن العصفور بجبلك ياه المهم اتلهى"
1692,"مع انو أنا بشتغل كتير وما بقعد ... انو بقعد شوي .. هلا أنا بصراحة بقعد كتير"
1693,"ليك هو للأمانة أنا ما بلق شي و محدا عتبان عليي بس أبلاقيها حلوة ضل قاعد بالبيت وفي أكل بالكرم ????"
1693,"ليك هو للأمانة أنا ما بلق شي و محدا عتبان عليي بس أبلاقيها حلوة ضل قاعد بالبيت وفي أكل بالكرم 🙂"
1694,"المهم بيخلص اليوم و منركب بهالتركتور والكل بكون مبسوط والورشة بتصير تغني و شكلنا ونحن طالعين بالضيعة متل يلي جايين من حرب البسوس وهكذا"
1695,"في كل صباح عيد نستيقظ على صوت إغلاق البوابة ........... انه أبي يذهب مسرعاً في ساعات الصباح الأولى إلى القرية ليشتري الأضاحي ( الفراريج ) ليذبحها شيخ القرية معلنا نية عمل الخير"
1696,"أستيقظ أنا مثقلاً ثملا من سهرة البارحة أشحط قدماي أمامي إلى المغسلة لاسمع أمي تقول يا خطيتو بيك راح تحت الشمس ...."
1697,"اتمتم أنا إي والله لسا بكير يعني كان فيه ينتظرني ساعة زمن ولوووو وبرد ابريق المتة مع أول كاسة بدق تلفون للبابا ............"
1698,"يجاوبني صوته البشوش أهلين بابا كلو تمام اشترينا و دبحنا تعالو براحتكم نضفو هالفراريج و وزعوها ....."
1699,"وهون أنا ما بسمع الا براحتكم وبرجع بنام بعد أن ارتويت من المتة ....."
1700,"المهم الضهر بيدق بيبهدلنا انو تأخرنا عليه وانا بدوري بدق ببهدل ياسر انو تأخرنا عبيك و بروح أنا وياسر متبهدلين و قالبين وجهنا"
1701,"وبس يشوفنا بيي بيقلب وجو .... ليش ما اجت امكم معكن بقلو أنا والله تعباني و مريضة بيتمتم شوية كلمات غير مفهومي و بيشيل تلفونو يدقلا يتطمن عليا وبيسأل ياسر شبها أمك ......"
1702,"بيقلو ما شبها شي مليحة كانت عم تتمشى و بطلع أنا كذاب ............"
1703,"المهم بيدقلا و كيفك يا أم وائل ولو جيتي غيرتي جو كذا و مذا و بيسكر بتأفف ........"
1704,"هون منكون نحنا عم نعمل متة وهوي شايفنا بينتظر لنطالع الطاولة لتحت التوتات و نركز بيقلنا لاااااااااااااا باابااااااا قومو غسلو الفراريج ووزعوهن قبل وبيعقد حاجبيه"
1705,"هون منقوم عالصامت"
1706,"أحلى لحظة بالحياة لما ينطمز الإنسان الدبقة"
1707,"الخيطب قيعد مع خطيبتو والمتجوز قيعد مع مرتو والحبيب قيعد مع حبيبتو وهنا قيعد مع ستي كل شوي بتقلي ..... هنت ابن مين .... شحاري يا ستي"
1708,"ذكرني هالتخت بليالي الشتوية الماطرة"
1709,"و بكون جدي تحت لحافو و الراديو عدانو عم ينقل ابرتو من محطة لمحطة"
1710,"وكل شوي تلمع السما وتضوي الغرفة"
1711,"وجدي يقول .... الله أكبر .... الله يبعت الخير"
1712,"و يطلع صوت الرعد ويهز حيطان الغرفة و تبلش تشتي كب"
1713,"وستي تكون عم تجيب كم قرمة من غرفة الحطب و تفوت عالغرفة وهي عم تقول الله أكبر ع هالشتي ...... طافت الدني ..... سرحت المزيريب"
1714,"ابدك تشرب المتة ... ؟؟"
1715,"شعلتي الصوبا .... ؟؟"
1716,"إي شعلتا من الأربعة"
1717,"إي شيلي هالصبي حطيه بالتخت ت انزل أقعد عالفرشة"
1718,"والله تقيل أفيني قيمو ..."
1719,"ستي يا ستي .... قوم نام محل جدك ..........."
1720,"وهيك قوم نام محل جدي وبكون دافي كتير وأكمر حالي بلحافو وصير أتفرج ع جدي و ستي هنن وعم يشربوا متة ويتسولفوا"
1721,"عيّن : انظر"
1722,"ريحة : بارفان"
1723,"خفافة : حذاء للرياضة"
1724,"السيبا : السلم"
1725,"العمىىى .......... تقال في حال الصدمة الشديدة وغالباً شيء مو كويس"
1726,"جلموء : مصلحجي"
1727,"معلاء : بيتدخل بكل شي"
1728,"بالورب : بالمايل"
1729,"شفاتير : شفايف"
1730,"وا  قرود : للتعجب"
1731,"وا قرود الأرض : للتعجب كثيرا"
1732,"كلاكيش : أغراض"
1733,"عمشة : وسخة"
1734,"أمثال شهر شباط"
1735,"راح العاقل كانون وإجا شباط المجنون"
1736,"شباط غيمه وهواه أحسن من شمسو و شتاه"
1737,"شباط شبطنا و ربطنا و روايح الصيف إجتنا"
1738,"الصيت لشباط و الفعل لآدار"
1739,"شباط أوعالو لا يغرك اعتدالو"
1740,"سأل آذار شباط شلون تركت الناس"
1741,"الصيت للمربعانية والفعل لشباط"
1742,"راح شباط الغدار وإجا آدار الهدار"
1743,"غيمة شباط ولا صحوة كانون"
1744,"شمسة شباط وغيمة آذار من نعايم الله الكتار"
1745,"شباط ما بيخبي شمسه"
1746,"شباط بيضحك عالنسوان"
1747,"ما بين شباط والصيف زرقة فارة"
1748,"امش على غيم كانون ولا تمش على غيم شباط"
1749,"بشباط ببييض الجيج عالبلاط"
1750,"شباط مهما شبط و لبط ريحة الصيف فيه"
1751,"شباط فروته مخزقة"
1752,"برد شباط بيمنع الجراد والقحاط"
1753,"شمس شباط بتعلم عالبلاط"
1754,"شمس شباط لكنتي وشمس آذار لأختي وشمس نيسان لبنتي"
1755,"شباط عدو العجايز"
1756,"كل ساعة برأي متل غيمة شباط"
1757,"سرحنا أول شباط ع زراعة العنبات"
1758,"متل شهر شباط ما على كلامه رباط"
1759,"بين شباط و آدار تأخرت كتير يا زارع الأشجار"
1760,"قمح شباط ما بيملي الرباط"
1761,"أمثال شهر آذار"
1762,"في آذار بتساوى الليل و النهار"
1763,"آذار أبو الصواعق و الأمطار وسبع ثلجات كبار"
1764,"كل رعدة بآذار مطرة بنيسان"
1765,"خبي حطباتك ( أو فحماتك أو قرماتك ) الكبار لعمك آذار"
1766,"آذار شمس و أمطار و ينشف الراعي بلا نار"
1767,"إن خلص آذار اللي عمّر عمّر واللي بار بار"
1768,"ملاحة آذار بتقص المسمار"
1769,"غيمة آذار نعمة من نعمات الله الكبار"
1770,"بآذار رد البذار من الحقلة يا حمار"
1771,"بآذار بينتقل الكلب لفية الدار"
1772,"بآذار بينام الأعزب بباب الدار"
1773,"بآذار بتغلى المونة و بيكتر النقار"
1774,"بآذار بتطلع الحيايا من الغار"
1775,"الدنيا بآذار متل العروس بدارها"
1776,"الكرم إذا ما انفلح بآذار بار"
1777,"العشب بآذار قد دينين الفار"
1778,"في آذار طلّع بقراتك من الدار"
1779,"في آذار تمطر سبعة أمطار"
1780,"هوى آذار بيقلّع الأشجار"
1781,"بآذار بتطلع الموائد عالدار"
1782,"آذار الهدار فيه الصواعق والأمطار"
1783,"آذار أبو الزلازل و الأمطار"
1784,"آذار أوله سقعة و آخره نار"
1785,"بآذار بفتح الورد زرار زرار"
1786,"أمثال شهر نيسان :"
1787,"مطرة الرابع من نيسان بتحيي كل إنسان"
1788,"مطر نيسان ذهب كيزان ( كيزان جمع كوز أي الجرة )"
1789,"مطر نيسان خير وصحة للإنسان"
1790,"بنيسان بتزهر البساتين .... وبتحلا السيارين بس يا خسارة هالسنة مافي سيارين بسبب كورونا"
1791,"شتوة نيسان بتساوي قصر السلطان و القرقة و الصيصان"
1792,"نيسان معيكسان ( لأنه بدلا أن يميل للاستقرار يميل للاضطراب )"
1793,"بنيسان بتصير الدنيا عروس و بيخففوا الغطا والملبوس"
1794,"بنيسان أطفي نارك و أفتح شبابيك دارك و اسبح بالشمس لزنارك"
1795,"بنيسان بيفتح التوت و بيقلو للبرد روح موت"
1796,"نيسان النسناس ( بسبب تزايد طول نهاره مما يسبب في إرهاق العاملين في الزراعة )"
1797,"في نيسان انبسطت يد الرحمن ( فيه يجني البدو موسمهم من الخراف و السمن )"
1798,"بنيسان لا تكري نفسك لإنسان ( أي لا تعمل أجيرا عند الناس لكون النهار يصبح طويلا )"
1799,"نيسان بيطعمي الجوعان و بيدفي العريان"
1800,"بنيسان بيدوب التلج وبيبان المرج"
1801,"بنيسان بتفتح شقائق النعمان"
1802,"بنيسان بيخضر الحجل و بيطبش الحجل"
1803,"بنيسان بتسرح الغزلان وبيفتح البستان"
1804,"قمر نيسان متل شمس آذار بنص النهار"
1805,"آذار حبل و نيسان سبل ( أي تبدأ في آذار أعالي نباتات القمح بالانتفاخ لتظهر في نيسان )"
1806,"حشيش نيسان بيحرك الكسلان"
1807,"بنيسان بتفقس الصيصان"
1808,"بنيسان بيدفى كل إنسان"
1809,"مطرة نيسان بتحيي الأرض و الإنسان"
1810,"أمثال شهر أيار :"
1811,"أيار شهر الرياحين و الأزهار"
1812,"بأيار تثمر الأشجار"
1813,"بأيار قعود بين الورد و اتذكّر ليالي البرد"
1814,"بأيار نشور غسيلك عالحبال"
1815,"برد أيار خراب للديار"
1816,"شمس أيار بتعلم ع الحجار"
1817,"أيار مشمش و توت و خيار"
1818,"بأيار الشتي بيشد غراضو وما بيبقى غير مياتو"
1819,"أمثال شهر حزيران :"
1820,"بحزيران الجو نيران"
1821,"حزيران الهاوي و تموز الشاوي و آب الكاوي"
1822,"حزيران شهر البسط و الكيف أوله ربيع و آخره صيف"
1823,"البرد ما بيموت ليستوي التوت"
1824,"حزيران أبو الحلايش ( حيث يتم حلش - أي حصاد البقوليات )"
1825,"شوب حزيران بيعمل اللبن عيران"
1826,"شهر حزيران في الحصاد والنيران"
1827,"حزيران شهر الريان ( الخضار و الفواكه )"
1828,"بحزيران بتدخل الشمس برج السرطان وبتقول للشمس أهلا بأعز الخلان"
1829,"حزيران طباخ المشمش"
1830,"بتموز بتغلي المي بالكوز"
1831,"بتموز كنز مياتك لتعوز"
1832,"شمس تموز بتحرق دنب العصفور"
1833,"بآب الجو عاب"
1834,"آب اللهاب"
1835,"بآب اشلح الجزمة والبس القبقاب"
1836,"بآب بيلتقوا الأحباب"
1837,"آب طباخ العناب"
1838,"بآب التين طاب"
1839,"آب بيجيب الخضرة عالباب"
1840,"بآب اقطوف عنقودك ولا تهاب"
1841,"بآب فوت ع كرمك ولا تهاب"
1842,"عيد التجلي بيقول للصيف ولّي"
1843,"بعيد الرب بينتلى العنقود حب ( عيد الرب هو عيد التجلي )"
1844,"بعيد السيدة صفوا عنب المائدة ( يصادف يوم 15 آب )"
1845,"اللي ما بيذري بآب شحم قلبه داب ( التذرية هي فصل حب القمح والشعير عن التبن بعد عملية الدراس في تموز ) حيث تنجح هذه العملية في آب بسبب رياحه الخفيفة مما لا يسبب بضياع التبن"
1846,"مضى آب وما درّيت يللي بالهوا انغرّيت"
1847,"أيلول ذنبه مبلول ( أيامه الأخيرة لا تخلو من الأمطار )"
1848,"ب 23 أيلول الصيف بيزول"
1849,"إذا ما شتت بعيدنا بنقطع إيدنا ( هذا المثل يقوله المسيحيون ، حيث يصادف عيد الصليب يوم 27 أيلول حسب التقويم الغربي - 14 أيلول حسب التقويم الشرقي ) وهذا تأكيد على سقوط الأمطار في أواخر أيلول"
1850,"يلي ما تمون بأيلول بعيش عيشة بهلول"
1851,"إذا طلع سهيل لا تأمن من السيل"
1852,"تش تش : ابتل"
1853,"فس فس : وشى"
1854,"صح صح : استيقظ تماما"
1855,"فت فت : قطع إلى قطع صغيرة"
1856,"لق لق : ذهب في زيارات لا تناسب مستواه الاجتماعي"
1857,"نق نق : أكل بين الوجبات"
1858,"مز مز : استمتع بالطعام"
1859,"بح بح : زاد و أفاض"
1860,"جر جر : جرّ"
1861,"نه نه : أتعب كثيراً ، يقال نه نه الجلاد الضحية"
1862,"فل فل : غار وشعر بالغيظ ويغلب استعماله مع تاء التأنيث"
1863,"كب كب : سفح الطعام"
1864,"لم لم : رتّب البيت"
1865,"شر شر : سال"
1866,"بع بع : صرخ"
1867,"بس بس : تمتم"
1868,"جع جع : صاح"
1869,"سب سب : شتم"
1870,"شم شم : تقصى الأخبار"
1871,"عس عس : طال مرضه"
1872,"فض فض : باح"
1873,"رص رص : شدّ"
1874,"جه جه : جه جه الضوء تعني بزغ الفجر"
1875,"جق جق : سكب الماء"
1876,"حب حب : تعاطى المخدرات"
1877,"حر حر : خاض في سيرة الناس"
1878,"خم خم : بحث بدأب"
1879,"هرهر : أسقط أجزاء الطعام"
1880,"عن عن : أصدر أنيناً"
1881,"فص فص : تقال حين تناول البذر أو الفستق"
1882,"طف طف : فاض"
1883,"طن طن : روّج له وبالغ بمدحه"
1884,"طب طب : واسى"
1885,"كن كن : صمت بسبب استيائه"
1886,"مط مط : ماطل"
1887,"تخ تخ : اهترأ ، ويقال تخ تخ فلان بالسجن أي مكث طويلاً"
1888,"لع لع : علا صوته"
1889,"بخ بخ : نثر رذاذاً"
1890,"شب شب : بدا أصغر من عمره"
1891,"بص بص : استرق النظر إلى النساء"
1892,"جدبه : يعني مجنونة"
1893,"سكرتون : يعني خزانة"
1894,"أبوس روحك : للمدح"
1895,"ورصاص : يعني دعاء بالموت و أيضاً يبلاك بقتلك يعني دعاء بالقتل والضرب"
1896,"لا تجقجق يعني لا تدوس على الماء ) هي إذا كانت الأرض مغسولة ("
1897,"بتاتا يعنى بطاطا ( البطاطس )"
1898,"مجأجأ : مرطب"
1899,"عوجه : كوع"
1900,"خلق : عالم"
1901,"كما امتازت اللهجة الحلبية ... بأدوات إشارة خاصة فينا ... يعني العرب كلهم كوم ونحن كوم تاني"
1902,"كوهنه : للمذكر القريب"
1903,"كيهنه : للمؤنث القريب"
1904,"كوهاك : للمذكر البعيد"
1905,"كيهاك : للمؤنث البعيد"
1906,"كوهاكييي : لجمع المذكر البعيدين"
1907,"كيهاكين : لجمع المؤنث البعيدين"
1908,"كوهنن : لجمع المذكر القريب"
1909,"كيهنن : لجمع المؤنث البعيد"
1910,"اختصار المذكر القريب .... كو"
1911,"اختصار المؤنث القريب .... كي"
1912,"هههههه الله وكيلكن هي بس مفردات الإشارة .. بس مشان تصدقوا شقد .. لهجتنا نحن الحلبية غنية"
1913,"روح قلبنا نجقجق ومن الاختصارات أيضاً"
1914,"تاااااا بدل من تعال"
1915,"رووووو بدل من روح"
1916,"ما راي بدل مالي رايح"
1917,"أبخالتي بدل من ابن خالتي"
1918,"شأساعه بدل من شقد الساعة"
1919,"أشلك فصتون يعني بالشامي شو بدك فيون"
1920,"نانتي يعني جدتي"
1921,"جنق ... هي الصحن"
1922,"فرتيكه ... هي الشوكة"
1923,"خوليه ... هي البشكير"
1924,"أرمغان ... هي الهدية"
1925,"جمجايه .... هههههه هي يعني معلقة السكب المقعرة"
1926,"خيت و خيتو : يعني أختي"
1927,"خاي و خيو : يعني أخي"
1928,"جلق : دمه ثقيل"
1929,"اشبك : سؤال للاستفسار"
1930,"وجع : دعاء بالألم"
1931,"فلته : واحد شاطر"
1932,"كرتاية : سكجا يلي بتدخل فيها الكندرة"
1933,"أنضرة : الكندرة"
1934,"بانجان : باذنجان"
1935,"دي بقا : لك لك"
1936,"علوّا : أي يا حبّذا"
1937,"عمنول العام الماضي"
1938,"أول عمنول العام قبل الماضي"
