Sentence_id,sentence,,,,,,,
1490,راح تعرفني صخورها وجحورها ورمالها,,,,,,,
1491,وخطاك يا جدي متزوجة الأرض . .,,,,,,,
1492,أنسيت . . . ! ?,,,,,,,
1493,غير أولادك ما بحلالها,,,,,,,
1494,يا جدي : اليهود معمرين فيها,,,,,,,
1495,والطريق عليها عيون مفتحة,,,,,,,
1496,من حواجز وأسلاك,,,,,,,
1497,والشجر كله بتكلم,,,,,,,
1498,ما بتعرف مين معهم ومين معاك,,,,,,,
1499,يا جدي : حطني بعلبة كبريت,,,,,,,
1500,وبجيب الصدر خبيني,,,,,,,
1501,واطلع قبل الشمس,,,,,,,
1502,ومن فوق الليل وارميني,,,,,,,
1503,يا جدي : شو بتقول . .,,,,,,,
1504,كلامك مش معقول . . . ! !,,,,,,,
1505,يا جدي : بدى أشوفها,,,,,,,
1506,بدى أكحل حنيني بكفوفها,,,,,,,
1507,بدي لو مرة أبوس قطوفها,,,,,,,
1508,يا جدي : اخ . . اخ ولو بقدر . . .,,,,,,,
1509,يا جدي : طيب ليش بتحكيلي,,,,,,,
1510,يا جدي : عشان تكبر وهي فيك,,,,,,,
1511,وتعمر بأشعارك وأغانيك,,,,,,,
1512,يا جدي : بس عشان هيك,,,,,,,
1513,عشان يقولوا ما انسينا,,,,,,,
1514,لا يا جدي . . لا يا جدي,,,,,,,
1515,بيارتنا اللى بوادي الحمام,,,,,,,
1516,ما بترجع بالكلام,,,,,,,
1517,ولا بقصة ألف ليلة وليلة,,,,,,,
1518,ولا بترجع بالسلام,,,,,,,
1519,ولا بترجع بمفتاح مخبى,,,,,,,
1520,ولا حتى بجيوش الأنام,,,,,,,
1521,هدول مثل الأنعام,,,,,,,
1522,يا جدي : كيف بترجع الأوطان . . ? ! !,,,,,,,
1523,يا جدي : فلسطين بترجع بس . . .,,,,,,,
1524,إذا الوحدة والإرادة سبقتنا,,,,,,,
1525,إذا كنا اثنين بواحد,,,,,,,
1526,والصدق والحب عملتنا,,,,,,,
1527,ويا جدي : فتوش النكبة شلفطتنا,,,,,,,
1528,و اللي ما بقدر . . . ما يأكل بصفرتنا,,,,,,,
1529,عضو صالون القلم الفلسطيني,,,,,,,
1530,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1531,"في رثاء انقطاع الراتب لموظفين غزة",,,,,,,
1532,عيد الأضحى أجي,,,,,,,
1533,حامل سكين يذبحني,,,,,,,
1534,وبقهر ابني يشرحني,,,,,,,
1535,وبفلس مثل الجرس,,,,,,,
1536,رناته بعيون مكسوفة,,,,,,,
1537,بتنادي الستر . . .,,,,,,,
1538,والستر مل جيوب,,,,,,,
1539,من الوجع مخروسة,,,,,,,
1540,بكره العيد بقولوا,,,,,,,
1541,وينك يا راتب,,,,,,,
1542,ياللي الكل إلك حاسب,,,,,,,
1543,غبت بيوم عزيز علينا,,,,,,,
1544,وكسرت الفرح بأيدنا,,,,,,,
1545,مش مهم,,,,,,,
1546,راح اطلع,,,,,,,
1547,راح افرح,,,,,,,
1548,راح اضحك,,,,,,,
1549,راح أعطي,,,,,,,
1550,راح أكون,,,,,,,
1551,مش عشاني,,,,,,,
1552,عشان أفرجيك . .,,,,,,,
1553,انك أناني,,,,,,,
1554,وعمر العيد ما كان سعيد,,,,,,,
1555,وكل عام وانتم بخير,,,,,,,
1556,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1557,شعب غزة يا أرقام ما بموت بالاستبداد . .,,,,,,,
1558,سنواجه مصيرنا بشجاعة . . . ولن نستسلم,,,,,,,
1559,صبرنا وضغطنا على الزناد,,,,,,,
1560,وقدمنا براعم باسم الجهاد,,,,,,,
1561,قسينا يا عالم ظلم العباد,,,,,,,
1562,وصمت أنزال تلحفوا بالحياد,,,,,,,
1563,من الشام والحرم وأذناب بغداد,,,,,,,
1564,أعطوا الأمر بضرب الصداد,,,,,,,
1565,شعب غزة يا أرقام,,,,,,,
1566,ما بموت بالاستبداد,,,,,,,
1567,واللي مش عارف يعرف,,,,,,,
1568,إحنا شعب ما بنقاد,,,,,,,
1569,كل وقته مقاومة وعزيمة واسترداد,,,,,,,
1570,صحيح سلبية فينا,,,,,,,
1571,وانقسام سبب فتنة وعناد,,,,,,,
1572,لكن عند المواجهة,,,,,,,
1573,الكل بقسي عالجرح,,,,,,,
1574,وبنثر رماد,,,,,,,
1575,بوجه المحتلصلب و شداد,,,,,,,
1576,ضحية أحيانا لكن صياد,,,,,,,
1577,مرة قصف ومرة استطراد,,,,,,,
1578,هذه حرب مش حب وفؤاد,,,,,,,
1579,اللي بقدر بكون عواد,,,,,,,
1580,واللي بجبن وبهرب مثل الأولاد,,,,,,,
1581,وبحلف بالوطن وهو قواد,,,,,,,
1582,وعارف انه الكل عارف,,,,,,,
1583,أصله وفصله,,,,,,,
1584,وعامل حاله من الجواد,,,,,,,
1585,فلسطين يا نايم معمرة بالعتاد,,,,,,,
1586,نخوة ورجال وكثير الحساد,,,,,,,
1587,عرب ويهود وكتلة أعداد,,,,,,,
1588,والمسحية على أهبة الاستعداد,,,,,,,
1589,بالقدس يا غايب كانوا الأكراد,,,,,,,
1590,وأهل كنعان صاروا أمجاد,,,,,,,
1591,واللي فيها اليوم ناس جداد,,,,,,,
1592,برسموا وبحكموا,,,,,,,
1593,وبقولوا الحق عاد,,,,,,,
1594,هذه أرضنا ارض الميعاد,,,,,,,
1595,ونسيوا شعب مغلوب بالوطن,,,,,,,
1596,ضرب واسر وجرحي,,,,,,,
1597,و المنية بازدياد,,,,,,,
1598,ويا تري هذا كله ارتعاد,,,,,,,
1599,لا والله هذه شعلة نصر,,,,,,,
1600,مزفوفة بذكريات الدم والاستشهاد,,,,,,,
1601,والله ليجي يوم,,,,,,,
1602,ونكون نحنا علم الأسياد,,,,,,,
1603,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1604,أنا معك وأنت اخويا . . .,,,,,,,
1605,اضغط للاستماع هذه بصوتي,,,,,,,
1606,وين بتكون راح أكون,,,,,,,
1607,كتف بكتف وأيد وبأيد,,,,,,,
1608,وعجنبك سلاحي . . .,,,,,,,
1609,روحي ودمي فداك,,,,,,,
1610,أنت بس اطلب . . .,,,,,,,
1611,فلسطيني مهيوب,,,,,,,
1612,والفخر برفرف من عيونك,,,,,,,
1613,قاسم بصدرك عهد . . .,,,,,,,
1614,ما تضحك ولا تشوف اللي يحبونك,,,,,,,
1615,حتى يعود هالوطن,,,,,,,
1616,وتداوي همومي وهمومك,,,,,,,
1617,اخويا أنت مهما صار . . .,,,,,,,
1618,حامل على ظهرك فؤادي,,,,,,,
1619,رافع علم يجذب الأنظار,,,,,,,
1620,يرهب طامع وكل من يعادي,,,,,,,
1621,بطل والفروسة أنواع . . .,,,,,,,
1622,نوع ملقن من أجدادي,,,,,,,
1623,صابر والصبر أعذب,,,,,,,
1624,والفقر والجوع زادي . . .,,,,,,,
1625,بحلم يا عالم . . . . أنا بحلم,,,,,,,
1626,والحلم والله لبلادي,,,,,,,
1627,بوحدة وطنية . . .,,,,,,,
1628,ودولة فلسطينية,,,,,,,
1629,وسلامات يا شعب الحرية,,,,,,,
1630,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1631,أخ فوق الأخ طخ . . ! !,,,,,,,
1632,سلم يا اللي بالقدس,,,,,,,
1633,على أهل الهمة,,,,,,,
1634,سلم ووصل رسالة للأمة,,,,,,,
1635,مكتوبة بحروف من دمي,,,,,,,
1636,أول كلمة . . . اشتقتلك,,,,,,,
1637,وثاني كلمة . . . يا أمي,,,,,,,
1638,محروم وبالي مشئوم,,,,,,,
1639,من طفل بلش يعوم,,,,,,,
1640,وأسير بشرعية عصافير,,,,,,,
1641,ومن شعب نسي قضيته,,,,,,,
1642,ونسي تقرير المصير,,,,,,,
1643,لمين أروح . . وين أجي,,,,,,,
1644,لمختار عقله طار,,,,,,,
1645,وله لعربنا أهل العار,,,,,,,
1646,أخ فوق الأخ طخ,,,,,,,
1647,وسلم على عدو ما بنخ,,,,,,,
1648,وقال بتصريح بلاش تجريح,,,,,,,
1649,عودتنا بفتحة معبر,,,,,,,
1650,وكاز وغاز وصورة تسبيح,,,,,,,
1651,وشفونا يا عالم حصار والله بحصار,,,,,,,
1652,وأولاد عمنا نهبوا الدار,,,,,,,
1653,وسرقوا أموال ما بتاكلها النار,,,,,,,
1654,تعالوا شوفوا غزة,,,,,,,
1655,امن وأمان ولقمة ما فيش,,,,,,,
1656,وحكاية خرفان بلون الحشيش,,,,,,,
1657,وسلامات يا شعب . . .,,,,,,,
1658,كل واحد فيكم شاويش,,,,,,,
1659,كل واحد فيكم رئيس,,,,,,,
1660,كل واحد فيكم صح,,,,,,,
1661,والصح اللي فيكم شح,,,,,,,
1662,غلابة بحكم العادة,,,,,,,
1663,وسيرتنا صارت كذابة,,,,,,,
1664,بس فلسطين . . فلسطين,,,,,,,
1665,اكبر من هذا . . هذا,,,,,,,
1666,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1667,وينك يا ابو عمار . . . .,,,,,,,
1668,وينك يا ابو عمار,,,,,,,
1669,يا جد بزمن العند,,,,,,,
1670,وينك يا معلم,,,,,,,
1671,يا ابو الشعب,,,,,,,
1672,وينك بدنا نسلم . . .,,,,,,,
1673,أروحنا بنهديك بس تعود,,,,,,,
1674,لدقيقة حكم . . ترجع وتقود,,,,,,,
1675,رعية باسم الوطن,,,,,,,
1676,خانت كل العهود,,,,,,,
1677,وكتبت بوصيتك هو السبب,,,,,,,
1678,أتقسمنا يا قائد من بعدك,,,,,,,
1679,وصار الكل بناجي سعدك,,,,,,,
1680,زمان كان في وطن وفرسان,,,,,,,
1681,طفل بشد الموت لعنده,,,,,,,
1682,وبفتح درب بدمه,,,,,,,
1683,ليفجر النسيان,,,,,,,
1684,فارس عودة ترك قضية كرامة,,,,,,,
1685,وسلم صموده لجيوش,,,,,,,
1686,بحكمها نعامة,,,,,,,
1687,فكره راح تقاوم,,,,,,,
1688,وتحمل علم ملون,,,,,,,
1689,بأبيض واحمر,,,,,,,
1690,واسمر واخضر,,,,,,,
1691,وأنشودة نصر نسفها القهر,,,,,,,
1692,عابواب الفتنة سجل يا دهر,,,,,,,
1693,أنا فلسطيني وما راح استني,,,,,,,
1694,القدس بتضيع وإحنا بنتمنى,,,,,,,
1695,عكرسي كذب سلختوا أملنا,,,,,,,
1696,وبشوية نصب هلكتوا اجلنا,,,,,,,
1697,برا إن كنتوا بتستحوا برا,,,,,,,
1698,"صرنا اليوم بنلهث على جره """" أنبوبة غاز """"""""",,,,,,,
1699,وينك يا ابو عمار,,,,,,,
1700,صدقني خربت وكسروها الصغار,,,,,,,
1701,صار لازم تعود إذا بتقدر,,,,,,,
1702,وتجيب معك ابو جهاد,,,,,,,
1703,ودلال وأبو على مصطفي,,,,,,,
1704,والشقاقى والياسين,,,,,,,
1705,وما تنسى ناجي العلى,,,,,,,
1706,ودرويش بطريقك,,,,,,,
1707,صدقني من دونكم ما بتسوي فلسطين,,,,,,,
1708,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1709,أغنية خاصة بأطفال فلسطين,,,,,,,
1710,يا وطني وربي جايين,,,,,,,
1711,إحنا أطفالك مش خايفين,,,,,,,
1712,بدنا أنقاوم ومش حنساوم,,,,,,,
1713,عتراب مجدك يا فلسطين,,,,,,,
1714,يا أولاد بلدي يالله نقوم,,,,,,,
1715,نسهر نحلم ما في نوم,,,,,,,
1716,نلعب نمرح ننسى هموم,,,,,,,
1717,ونذكر الله دايما دوم,,,,,,,
1718,نبني مدارس تبني أجيال,,,,,,,
1719,نرسم للغازي الزوال,,,,,,,
1720,أحنا أطفالك لنا أمال,,,,,,,
1721,ولازم بكرة نبقى رجال,,,,,,,
1722,يا وطني وربي جايين,,,,,,,
1723,إحنا أطفالك مش خايفين,,,,,,,
1724,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1725,الغريب أني غريب في طني,,,,,,,
1726,مبارح حكومة وعلم,,,,,,,
1727,واليوم حكومتين وعلمين,,,,,,,
1728,وبكره . . يا خوفي ننسى الاسم,,,,,,,
1729,ننسى . . ما إحنا نسينا,,,,,,,
1730,القضية والقدس والعودة مضينا,,,,,,,
1731,تاريخ بالذل شمعناه بأيدنا,,,,,,,
1732,"ولطمنا و ما تكلمنا , وضمينا",,,,,,,
1733,ببيوتنا كل جرح فينا,,,,,,,
1734,ولسا بنادي عجيوش,,,,,,,
1735,ترهلوا وصار إلها كروش,,,,,,,
1736,ولسا الأمل مدرينا,,,,,,,
1737,المهم النادي والنادي,,,,,,,
1738,ومش مهم مين اللي بعادي,,,,,,,
1739,المهم بدنا اللي يطعمينا,,,,,,,
1740,محتل . . مختل ما كله بدفع,,,,,,,
1741,أصل الانبطاح صار مشلح,,,,,,,
1742,أعطني شويا بعطيك عنيا,,,,,,,
1743,وأعطني كثير . . بجمعلك طراطير,,,,,,,
1744,ولما بتزيد بخلفلك عربيد,,,,,,,
1745,بكون مثلي وبنقلب عليا,,,,,,,
1746,هذا مبدأ الأمة العربية,,,,,,,
1747,انقلاب . . وأحزاب . . وخطة تجهيلية,,,,,,,
1748,وعولمة . . وتقليد . . وكليبات غنائية,,,,,,,
1749,وتعذيب واعتقال لأسباب وطنية,,,,,,,
1750,وكذب ما بنخلف إلا الكذب,,,,,,,
1751,ولسا بتقولوا جايين,,,,,,,
1752,برقصة شاكيرا وكيس طحين,,,,,,,
1753,ابقوا حلوني لو حلتوها,,,,,,,
1754,بدون وحدة انتو بعتوها,,,,,,,
1755,و جعجعوا على الإعلام,,,,,,,
1756,واللي بدو فلسطين ترجع,,,,,,,
1757,يوقف وما ينام,,,,,,,
1758,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1759,وصية لكل شاب وصبية فلسطينية,,,,,,,
1760,لليوم ما دق الباب,,,,,,,
1761,لليوم ما أجانا جواب,,,,,,,
1762,لليوم وإحنا بنستني,,,,,,,
1763,مر العمر وقتلنا الغياب,,,,,,,
1764,مسكين يا فلسطيني,,,,,,,
1765,أخذوك للبحر ورموك,,,,,,,
1766,وضحكوا بوجهك,,,,,,,
1767,وضحكوا بوجه اللي سرقوك,,,,,,,
1768,هدول عربنا جماعة,,,,,,,
1769,شجبنا واستغربنا,,,,,,,
1770,كلمتهم مجملها انسحبنا,,,,,,,
1771,ولليوم بقولوا جايين,,,,,,,
1772,لليوم مش ناسيين,,,,,,,
1773,لليوم بتحاكوا باللي جاي,,,,,,,
1774,بجيل اصفر مثل الشاي,,,,,,,
1775,بجيل سوبر ستار,,,,,,,
1776,بجيل خلف ولم خلف,,,,,,,
1777,أجاله البكر حمار,,,,,,,
1778,إلا ما رحم ربى,,,,,,,
1779,من شب شايب ختيار,,,,,,,
1780,دفنه الصبر عباب القهر,,,,,,,
1781,ولد هزيمة دمرت هالدار,,,,,,,
1782,فكر بيوم حسرتنا,,,,,,,
1783,فكر بالعودة,,,,,,,
1784,والعودة والفتنة نكبتنا,,,,,,,
1785,جدي مرة قال :,,,,,,,
1786,هذا وطن ما بتحرر بالأقوال,,,,,,,
1787,بتذكر شردوني وأسروني,,,,,,,
1788,وذبحوا كل اللي بحبوني,,,,,,,
1789,بتذكر مرة خطفوني,,,,,,,
1790,وقالوا : تبيع وله تهاجر مثل القطيع,,,,,,,
1791,قلت : اهدموا بيتي . . احرقوه,,,,,,,
1792,معي مفتاح راح يبقى بجبتي,,,,,,,
1793,هذا إلك ما تضيعه,,,,,,,
1794,وإذا ضاع يا جدي . . ?,,,,,,,
1795,خليك صامد وما راح يضيع,,,,,,,
1796,أنت بطل واسمك مقاوم,,,,,,,
1797,وأحفظ بذكرتك ورددها,,,,,,,
1798,قضيتنا ما بترجع وأنت نايم,,,,,,,
1799,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1800,عيد ميلادي قرب . . واع واع بديش بدى هدية,,,,,,,
1801,عيد ميلادي قرب وصار لازم أحاسب نفسي على السنة اللي فاتت , يوم الاثنين 19 - 5 بعد يوم النكبة بأربع أيام الصبح الساعة 6 الصبح صرخت وشردت من حضن أمي , صار عمري . . . ما راح أقولك . . حزر وفكر على مهل الموضوع اخطر وأصعب ما أنت بتتصور ," """" عيد ميلاد سعيد عمو عبود على الحدود من ارض الصمود """" ", هذه كانت هدية روان بنت اخويا عمرها 9 سنين , حكتها وهي بتضحك وقالت : قبل الكل كتبتلك جملة بعرفك بتحب الشعر . . كيف بتكتب زهقت لما وصلت معي جملة مزبوطة ," بوستها على جبينها وقلتها : شكرا . . وما حكيت كلمة ثانية ودخلت الغرفة وهيني بكتب الكم شو صار .""""",
1802,"أكيد بتقول الموضوع تافه شو دخلنا بعيد ميلادك يا عمى فك عنا قرفان اللي أحسن منك , طيب أنا زعلان منك , ازعل وله انت حر . . . من وين بعرفك انا ? . . ولو أنا فلسطيني أخوك عايش بغزة . . بتعرف يعني شو غزة . . يعني القصف والموت والجرحي والتعذيب والسجن والمعاناة والتشرد والحصار والضياع وسرقة الوقت . . عارف بمر اليوم وبجي اليوم الثاني . . وهو هو ما بتغير . . بحس حالي غريب عايش ومش عايش . . كل يوم بنعد روس والعدد بالليمون , كل لحظة بتذكر اخويا بالعراق واختى في أفغانستان وعمى فى لبنان وجدي بالسعودية وجدتي باليمن وابن خالتي بالسودان وكل يوم بقولهم . . وينكم صدقوني مشتاق كثير الكم مشتاق أحضنكم .",,,,,,,
1803,"من زمان ما طلعت مسيرة النا . . من زمان وإحنا بنستني . . صابرين بنغني وين الملايين , وين الشعب العربي وين . . اجت نكبتنا الستين . . عيد ميلاد سعيد يا فلسطين . . على ناسك اللي باعوكي وله على ناس بتجري على كيس طحين . . بس شعوب بتقول الحكام السبب الأنظمة السبب , وأنت المواطن المسكين . . ياحرام الله يكون في عونك . . راح تعيش طبلة وتموت زبال . . انت مواطن يا مواطن عربي . . انت شو وله شو . . انت حكاية بعيد الاستقلال , مجرور طول عمرك وما راح تتغير إلا إذا راح عمرك .",,,,,,,
1804,"رسالتي الكم يا عرب يا شعوب أمدت للغرب رسالة أخيرة . . . حاسب نفسك . . اعرف أصلك وفصلك . . اعرف وين أنت . . وشو وظيفتك بهذا العالم . . لشو مخلق . . قبل ما نهايتك مش عيد ميلادي . . صدقني مش عارف شو راح يكون موقفك . . أنا بقولك كل عام وأنت بخير . . وعيد موتك راح يكون عيد ميلاد سعيد اذا ما حركت شى , ولا أعملت شى لصالح بلدك فلسطين وإخوتك فى غزة . . قوم ولا قوم بقولك . . انتفض صرخ . . يا حبيبي اقرأ عن بلدك . . غني أغاني وطنية . . كون مجموعة شبابية بتحكى عن الوطن والقضية . . شكرا هذه أجمل هدية .",,,,,,,
1805,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1806,لن اخرس . . حوار من رحم الحصار,,,,,,,
1807,أكثر من أسبوعين والبلد ما فيها بنزين ولا سولار , والغاز شحيح والكهربا مرة بتيجي ومرة بتقطع , والسوق زى السكين ورطل البندورة صار كيس طحين , والجامعات واقفة لا شغل ولا مشغلة ," والشباب بتلاقيهم قاعدين على الرصيف بشربوا شيشا """" و بقولوا هي هذه عيشة """" "," وأنا لسا بمشي . . شفت سواق قاعد بعرفه رديت السلام . . .""""",,
1808,وسألته : كيف حالك يا ابو فادي .,,,,,,,
1809,رد : هو هذا سؤال بنسال . . عيب عليك يا رجل .,,,,,,,
1810,قلته : شو كفرنا إحنا . . الحق عليا اللي بطمن عليك .,,,,,,,
1811,قلى : يعني أنت مش عارف كيف حالي . . قعدوا ينقوا علينا لحد ما قعدنا . . السيارة واقفة إلها 17 يوم . . لتر السولار صار ب 30 شيكل . . وفى ناس بتعبي سيرج وكاز ابيض وزيت موتور وأبصر شو . . عشان أتدبر حالها . . وإحنا ما حدا سائل فينا نموت نعيش طز فينا .,,,,,,,
1812,"قلته : بعين الله يا ابو فادي بدنا نصمد وهذا مصيرنا , ربنا خلقنا لنقاوم وندافع عن هالامة النايمة .",,,,,,,
1813,قلى : يارجل من نكبة 48 لليوم ما صار فينا هيك . . التنظيمات دمرتنا وخربت علينا وضيعت قضيتنا . . على الطلاق انه في الدار ما في شي . . ولا عارف كيف بدي أدبر حالي . . إذا مش سالين في بعض كيف بدنا نخلى العالم يسال فينا . . . . خليها على الله .,,,,,,,
1814,قلته : يعني إذا صار اجتياح ما راح تطلع تقاوم .,,,,,,,
1815,قلى : عبد بتنكش رأس أنت . . وله لشو بدك تصل فهمني .,,,,,,,
1816,قلته : أنا حابب اعرف بس وأنت عرفني يا ابو فادي .,,,,,,,
1817,"قلى : بشو اطلع أقاوم بجوعي . . وله بظلم اخويا . . وله بصحن فاضي , وله بسكينة حافية من 10 شهور ما قطعت اللحمة . . وله بحجر مهيون , وله بسيارتي اللي ما بتساوي , وله بشو بدك اياني أضحي ولمين . . عشان يطلعوا على ظهورنا زى كل مرة . . إحنا ما بدنا هدول ولا هدول . . وقرفنا الكلام المعسول . . وصدقني اللي جاي أصعب من اليوم .",,,,,,,
1818,قلته : ول لهدرجة واصلة معك الحكاية يا ابو فادي .,,,,,,,
1819,"قلى : لما ما بلاقي الأكل لأولادي والجوع صار فطور وغدا وعشا . . ولما بنسمع علي التلفزيون بتيجي مساعدات . . أنا نفسي اعرف وين بتروح . . ومين أحق مني . . وله لناس وناس الحكاية . . عارف إذا بقينا هيك , عمروا ربنا ما ينصرنا .",,,,,,,
1820,"قلته : الحق علينا انه إحنا ساكتين , أصول ننتفض ونحكي بحرية .",,,,,,,
1821,"قلي : أي حرية يا عبد أي حرية . . والله خايف احكي عن قضيتنا الفلسطينية ليقولوا معارض , وخايف اطلع بالشارع ليقولوا بدو يسبب فتنة , وخايف اطلب بحقي ليقولوا هذا الرجل مجنون , وخايف احكي على الجوال لأنه مراقب , وخايف . . . عارف أنا خايف من نفسي لأنه اعمل في حالي حاجة .",,,,,,,
1822,قلته : لا يا ابو فادي أنت اقوي من هيك . . وعزيمتك اصلب واشد .,,,,,,,
1823,قلى : من اللي بنشوفه . . صار إلنا 10 شهور محاصرين ولا حدا بدور علينا . . مش مسلمين هدول .,,,,,,,
1824,قلته : صحيح لو في إسلام وفى مسلمين بعرفوا الله لكان حالنا غير هالحال . . بس شو تقول . . ماشى عم ابو فادي بدي أروح . . بدك شي .,,,,,,,
1825,قلى : سلامتك الله يسهل عليك . . وما تزعل من كلامي بس بفضفض . . وبجد نفس هالوضع يتغير . . وما تفكر إني ما راح أقاوم لو دخلوا اليهود . . صدقني مش أنا اللي ممكن يخون وطنه .,,,,,,,
1826,"أيها العرب , استحلفكم بما تبقى في هذه الأمة من طفولة وحب وصداقة وأشجار وطيور وسحب وأنهار وفراشات , استحلفكم بتحية إعلامها عند الصباح وإطراقة جبينها عند المساء , لقد جربتم الإرهاب سنين وقرونا طويلة وها أنتم ترون إلى أين أودى بشعوبكم .",,,,,,,
1827,"جربوا الحرية يوما واحدا لتروا كم هي شعوبكم كبيرة وكم هي إسرائيل صغيرة . جربوا أن تنصروا غزة يا فلسطينيين يا عرب يا مسلمين , لا تنسوا غزة وشعب غزة , كلنا أمل بكم , فنحن على يقين أن العزة والكرامة لم تمت بكم , انتفضوا في وجه الظالم واصنعوا حريتكم بأيديكم . . فانتم امة الملايين وابدوا فخير البدء من فلسطين .",,,,,,,
1828,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1829,جوامع ملجأ مقامع,,,,,,,
1830,جوامع ملجأ مقامع,,,,,,,
1831,بنادي المنادي,,,,,,,
1832,حي على ألعنادي,,,,,,,
1833,حي على الفتنة,,,,,,,
1834,حي على الميلادي,,,,,,,
1835,بالليل هو في لليل,,,,,,,
1836,قتل الليل هو بشادي,,,,,,,
1837,عصفور بفكر صوته,,,,,,,
1838,و ياريت يطربنا بسكوته,,,,,,,
1839,بكفينا حصار وقتل ودمار,,,,,,,
1840,بكفينا كذب واجعار,,,,,,,
1841,مرة مسيرة ومرة نفير,,,,,,,
1842,وإحنا العقل بدو يطير,,,,,,,
1843,بنفكر في شهيد بدنا نزفه,,,,,,,
1844,بنفكر بكره العيد بدنا نشفه,,,,,,,
1845,وبنفكر لما نفكر . . يا جماعة حسوا,,,,,,,
1846,بضيع الوطن وانتو لسا بتحشوا,,,,,,,
1847,معقول اللي بصير . بيت الله,,,,,,,
1848,وشرع المآذن أصبح أسير,,,,,,,
1849,غزة اليوم وكل يوم خايفة,,,,,,,
1850,من الاحتلال ومن الأنذال,,,,,,,
1851,ومن كل واحد ميال,,,,,,,
1852,خس حامل جوال,,,,,,,
1853,وجزر عاملها جكر,,,,,,,
1854,معه سلاح ومعربد وسفاح,,,,,,,
1855,بقول انه بطل,,,,,,,
1856,وهو شريحته بصل,,,,,,,
1857,وسلامات وبكفينا جدل,,,,,,,
1858,وابقوا قبلوني بالمعتقل,,,,,,,
1859,تم النشر قبل بواسطة عبد الحميد عبد العاطي,,,,,,,
1860,"مسرحية """" رجل على الهاوية """"""""",,,,,,,
1861,رجل على الهاوية,,,,,,,
1862,تأليف,,,,,,,
1863,الكاتب : عبد الحميد عبد العاطى,,,,,,,
1864,شخصيات المسرحية,,,,,,,
1865,كريم,,,,,,,
1866,مدير عام ومريض نفسي وهو زوج هبه وأب مريم,,,,,,,
1867,هبه,,,,,,,
1868,زوجة الكريمة الحنونة والمتفهمة وهى أم مريم,,,,,,,
1869,مريم,,,,,,,
1870,هي ابنة كريم وهبه وهى البنت الشاطرة الذكية,,,,,,,
1871,فيروز,,,,,,,
1872,"هي المرأة الحمقاء الثرثارة التي لا تسكت وشخصية تسئ الظن وهى جارة كريم",,,,,,,
1873,فريال,,,,,,,
1874,شخصية مختلفة تمام عن فيروز من ناحية العقلية والتفكير وأيضا جارة كريم,,,,,,,
1875,الدكتور,,,,,,,
1876,شخصية أساسية في المسرحية ويكون بان خالة هبه,,,,,,,
1877,المدير,,,,,,,
1878,صوت خارجي لكنه شخصية موجودة تلعب دور راقي,,,,,,,
1879,وهناك بعض الجنود المجهولين الذين يلعبون الدور الأهم والمميز في إنجاح العمل المسرحي حتى يرتقي للمشاهد الضيف .,,,,,,,
1880,المشهد الأول,,,,,,,
1881,وصف المكان : رسم على جدار المسرح صورة تعبيرية مع إضافة ملحقات الشارع وعمود إنارة قديم وساحة فارغة وعدة أحجار قديمة وتجول بعض النسوة في باحة الشارع وعلي رأسهم بعض الأكياس وبعض السلال .,,,,,,,
1882,"صوت """" المدير """" من خلف المسرح يتكلم ببرود أعصاب قائلا . . . . . . . . : :""""",,,,,,,
1883,المدير : مش عارف شو أقولك يا أستاذ كريم البلد مسكرة والوضع خطير وأنا مضطر,,,,,,,
1884,"أقلص عدد الموظفين ل 80 بالمية , وبس تتعدل الأمور بنرجع بنشغلك , وما تقلق",,,,,,,
1885,المسالة مسالة وقت .,,,,,,,
1886,إضافة موسيقى تصورية,,,,,,,
1887,"كريم : طيب وأنا عندي حل ثاني بس بتمني توافق عليه , أنا مستعد اشتغل متطوع واخذ",,,,,,,
1888,نص الراتب لوقت ما تتعدل . . شو رايك ? .,,,,,,,
1889,"المدير : صدقني ما بقدر , الدول المانحة قطعت كل المشاريع وسحبت الفلوس من البنك",,,,,,,
1890,ومش باقي غير مشروع تنظيف الزبالة . . . . إذا بدك بشغلك فيه .,,,,,,,
1891,"كريم : شو إن هبلت أنت ! ! من مدير عام لتنظيف الزبالة , أي والله انك واحد ما بتستحي .",,,,,,,
1892,"المدير : اطلع برا , اطلع برا بقولك . . . . . أما ناس مقرفة هذه .",,,,,,,
